Year,Driver,Championship Position,RaceResults,GridPos,QualiRes,NumRaces,AvgFinalPos,StdDevFinalPos,MedianFinalPos,AvgStartPos,StdDevStartPos,MedianStartPos
1990,65,35,[12. 17.],[12. 18.],[],2,14.5,2.5,14.5,15.0,3.0,15.0
1990,152,39,[33. 35. 35. 35. 35. 35. 35. 35. 33. 33. 33. 33.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],12,34.166666666666664,0.9860132971832694,35.0,0.0,0.0,0.0
1990,88,12,[16. 21. 21. 21. 12. 23.  7.  6. 14. 20. 25. 16. 14.  6.  3. 26.],[18. 18. 15. 15. 18. 19. 14.  9. 11. 19. 11. 18. 11. 15.  9. 24.],[],16,15.6875,7.0420056624515714,16.0,15.25,4.100304866714182,15.0
1990,95,5,[17.  4. 15.  9.  3.  2. 18. 15. 19. 17. 21.  4.  1.  2. 14.  2.],[17.  5.  5.  7.  7.  4.  1.  1.  4.  5.  5.  4.  1.  3.  3.  3.],[],16,10.1875,7.178254923726239,11.5,4.6875,3.652375083421745,4.0
1990,77,4,[18.  2.  2.  3.  4.  3.  5. 14.  3. 16.  3.  3.  4. 13. 22.  4.],[1. 2. 2. 5. 2. 1. 2. 3. 2. 3. 2. 3. 4. 5. 4. 2.],[],16,7.4375,6.4707877225265245,4.0,2.6875,1.2103072956898178,2.0
1990,148,22,[19. 23. 16.  7. 15. 15. 29. 30. 18. 30.],[23. 22. 23. 20. 21. 23.  0.  0. 26.  0.],[],10,20.2,7.277362159464101,18.5,15.8,10.447966309287182,21.5
1990,129,31,[20. 25. 14. 28. 13. 19. 31. 27. 27. 31. 16. 17. 27. 17. 27. 13.],[ 8. 21. 22.  0. 15. 20.  0.  0.  0.  0. 23. 23.  0. 21.  0. 22.],[],16,22.0,6.284902544988268,22.5,10.9375,10.25590531108785,11.5
1990,110,27,[21. 26. 18. 14. 16. 13. 19. 24. 30. 25. 19. 10. 25. 16. 19. 22.],[ 3.  9. 17. 12. 25. 15. 21. 23.  0. 10. 20. 25. 18. 17. 26. 15.],[],16,19.8125,5.186746933290654,19.0,16.0,7.441438033068608,17.0
1990,101,34,[30. 18. 30. 25. 15. 28. 21. 28. 18. 29. 17. 27. 21. 25.],[ 0. 25.  0. 21. 25.  0. 21.  0. 24.  0. 25.  0. 21. 25.],[],14,23.714285714285715,5.062870041905529,25.0,13.357142857142858,11.65336948732697,21.0
1990,139,26,[23. 25. 24. 26. 26. 11. 25. 10. 23. 22. 15. 25. 15. 14.],[21.  9. 19. 18. 24. 19. 23. 13. 17. 19. 13. 16. 19. 21.],[],14,20.285714285714285,5.674864018868916,23.0,17.928571428571427,3.954460153047546,19.0
1990,133,16,[15. 28.  5.  8. 30. 24.  7.  9.  9. 10.  9. 13.  9. 29.],[25.  0. 22. 26.  0. 22. 17. 18. 26. 19. 21. 17. 23.  0.],[],14,14.642857142857142,8.681730759450666,9.5,16.857142857142858,9.257098765327093,20.0
1990,112,23,[27. 12.  9. 12. 19. 18.  9. 13. 26. 14. 27. 13. 16. 19. 10. 11.],[ 0. 10. 16. 18. 17. 22. 12. 22. 24. 21.  0. 20. 20. 13. 25. 19.],[],16,15.9375,6.004880827293744,13.5,16.1875,7.333303740470594,18.5
1990,92,37,[35. 33. 31. 34. 33. 33. 34. 34. 33. 32. 30. 30. 30. 30. 30. 30.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],16,32.0,1.7677669529663689,32.5,0.0,0.0,0.0
1990,150,40,[34. 35.],[0. 0.],[],2,34.5,0.5,34.5,0.0,0.0,0.0
1990,149,38,[33. 34. 32. 33. 34. 34. 33. 33. 34. 34. 32. 32. 32. 32.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],14,33.0,0.8451542547285166,33.0,0.0,0.0,0.0
1990,114,25,[32. 19. 35. 32. 32. 31. 17. 32. 29. 27. 29. 14. 24.  9. 29. 28.],[ 0. 26.  0.  0.  0.  0. 26.  0.  0.  0.  0. 24. 24. 23.  0.  0.],[],16,26.1875,7.2819876235819025,29.0,7.6875,11.422120807888524,0.0
1990,99,32,[31. 31. 34. 31. 31. 32. 28. 19. 31. 13. 28. 27. 29. 22. 28. 16.],[ 0.  0.  0.  0.  0.  0.  0. 26.  0. 24.  0.  0.  0. 22.  0. 26.],[],16,26.9375,5.9526123466928365,28.5,6.125,10.64116417503273,0.0
1990,109,29,[30. 28. 12. 11. 17. 21. 30. 29. 12. 29.],[ 0.  0. 25. 26. 22. 26.  0.  0. 25.  0.],[],10,21.9,7.803204469959762,24.5,12.4,12.443472184241825,11.0
1990,81,33,[29. 14. 17. 24.],[ 0. 16. 20. 20.],[],4,21.0,5.873670062235365,20.5,14.0,8.246211251235321,18.0
1990,140,36,[28. 27.],[0. 0.],[],2,27.5,0.5,27.5,0.0,0.0,0.0
1990,151,20,[26. 16.  8. 23. 14.  8. 12. 17. 23.  7. 12. 23. 22. 26.],[19. 14. 11. 11. 12. 12. 17. 14. 20. 18. 22. 11. 15.  0.],[],14,16.928571428571427,6.638247248379066,16.5,14.0,5.223572942509206,14.0
1990,78,19,[25. 11. 10. 20. 23. 16. 14. 10. 10. 11. 14. 11. 10.  7.  7. 10.],[13. 20. 20. 17. 20. 24. 19. 21. 22. 25. 21. 26. 22. 20. 17. 12.],[],16,13.0625,5.201787553332028,11.0,19.9375,3.6991341892394227,20.0
1990,118,14,[24. 20.  7.  8.  6. 10. 11. 18.  8.  5. 11. 21. 23. 11. 11. 20.],[24. 24. 10. 13. 11. 11. 16. 16. 16. 11. 18. 12. 21. 10. 11. 11.],[],16,13.375,6.273705045664802,11.0,14.6875,4.686666592579421,12.5
1990,122,10,[23. 29. 24. 19. 10. 28.  2. 16.  7. 19.  7. 15. 18. 12. 18. 19.],[26.  0. 18. 23. 24.  0.  7. 10. 10. 16. 12. 16. 12. 19. 13. 14.],[],16,16.625,7.355907489902249,18.0,13.75,7.310095758606723,13.5
1990,117,2,[22.  1.  4. 16.  5.  1.  1.  1.  4. 21.  2.  2.  3.  1. 24.  3.],[ 7.  6.  6.  2.  3. 13.  4.  5.  3.  8.  3.  2.  2.  2.  2.  4.],[],16,6.9375,8.196559872897897,3.0,4.5,2.8939592256975564,3.5
1990,147,28,[15. 18. 11. 10. 29. 14. 27. 12. 28. 15. 26. 28. 28. 28.],[14. 17. 26. 19.  0. 16.  0. 24.  0. 23. 25.  0.  0.  0.],[],14,20.642857142857142,7.32517325838141,22.0,11.714285714285714,10.646451933649548,15.0
1990,127,18,[14. 30. 19. 29. 28. 29. 21. 26. 20.  8.  6. 18. 12.  8. 20. 21.],[25.  0. 12.  0.  0.  0. 10. 15. 14. 17. 14. 10. 14. 12. 16. 16.],[],16,19.3125,7.686991853124342,20.0,10.9375,7.12801471308807,13.0
1990,90,11,[13. 32. 26. 30. 27. 27. 32. 31. 32. 33. 31. 31. 31. 31.  2.  7.],[16.  0. 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.],[],16,26.0,9.374166629626338,31.0,3.5,6.910137480542627,0.0
1990,146,30,[12. 29.],[20.  0.],[],2,20.5,8.5,20.5,10.0,10.0,10.0
1990,145,8,[11. 10.  3. 17. 21.  4. 16. 23.  2. 18.  4.  8.  6.  3.],[22. 15.  9. 16.  4. 14.  5. 13.  9.  7.  6.  8.  9.  9.],[],14,10.428571428571429,7.027642214999339,9.0,10.428571428571429,4.79157423749955,9.0
1990,102,1,[ 1.  3. 22.  1.  1. 20.  3.  3.  1.  2.  1.  1.  2. 14. 23. 15.],[5. 1. 1. 1. 1. 3. 3. 2. 1. 4. 1. 1. 3. 1. 1. 1.],[],16,7.0625,8.2041814795871,2.5,1.875,1.2686114456365274,1.0
1990,105,24,[10. 22. 29. 27. 25. 17. 10. 20. 22. 12. 13. 12.  9. 10. 13. 27.],[21. 23.  0.  0. 14. 17. 18. 25. 19. 22. 26. 22. 19. 25. 24.  0.],[],16,17.375,6.881814804250402,15.0,17.1875,8.819146429785595,20.0
1990,103,13,[ 8. 24. 13.  6.  9. 22.  8.  4. 13.  6.  9. 24. 20. 20. 16. 23.],[15. 11. 13. 24. 23. 25. 11.  8. 12. 12. 15. 13. 10. 18. 18. 23.],[],16,14.0625,6.950438385454547,13.0,15.6875,5.3117646549899025,14.0
1990,94,21,[ 7.  9. 27. 22. 26. 12. 22. 25. 17. 24. 15. 25. 11. 18.  8.  9.],[ 2.  8.  0.  8. 16.  7. 23. 18. 15. 14. 16. 15. 16. 11. 10. 10.],[],16,17.3125,6.988550904872913,17.5,11.8125,5.790280109804706,12.5
